"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34417","Quotation → Sales Order","chromium","Sun Jan 11 20:00:08 IST 2026","passed","Sun Jan 11 20:00:43 IST 2026","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","1112","A new User with role Inventory","chromium","Sun Jan 11 20:00:08 IST 2026","passed","Sun Jan 11 20:00:09 IST 2026","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","3593","Check company presence and run set up if there is no company","chromium","Sun Jan 11 20:00:09 IST 2026","passed","Sun Jan 11 20:00:12 IST 2026","Ensure the set up process is completed and make it done if needed @setup","specs/fresh.setup.spec.ts","",""
"","23687","Delivery Note → Sales Invoice → Payment Entry","chromium","Sun Jan 11 20:01:13 IST 2026","passed","Sun Jan 11 20:01:36 IST 2026","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
"","754","Create new Item","chromium","Sun Jan 11 20:00:08 IST 2026","passed","Sun Jan 11 20:00:09 IST 2026","Create item @item @api","specs/api/item.spec.ts","",""
"","2011","A new User with role Sales","chromium","Sun Jan 11 20:00:06 IST 2026","passed","Sun Jan 11 20:00:08 IST 2026","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1270","A new User with role Accounts","chromium","Sun Jan 11 20:00:06 IST 2026","passed","Sun Jan 11 20:00:08 IST 2026","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","5150","Log in as ABOBA_BOBA via LogInUtils & storageState","chromium","Sun Jan 11 20:00:22 IST 2026","passed","Sun Jan 11 20:00:28 IST 2026","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","7722","Log in as new random User via LogInUtils","chromium","Sun Jan 11 20:00:09 IST 2026","passed","Sun Jan 11 20:00:17 IST 2026","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","620","Create new Customer","chromium","Sun Jan 11 20:00:08 IST 2026","passed","Sun Jan 11 20:00:08 IST 2026","Create Customer @customer @api","specs/api/customer.spec.ts","",""
"","1427","A new User with role Purchase","chromium","Sun Jan 11 20:00:06 IST 2026","passed","Sun Jan 11 20:00:08 IST 2026","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","1720","A new User with role Manufacturing","chromium","Sun Jan 11 20:00:06 IST 2026","passed","Sun Jan 11 20:00:08 IST 2026","Create new users with different roles: @sanity @api","specs/api/create.user.spec.ts","",""
"","4567","Log in as ABOBA_BOBA and store sessionContext","chromium","Sun Jan 11 20:00:17 IST 2026","passed","Sun Jan 11 20:00:22 IST 2026","RESTORE SESSION DEMO: @sessions","specs/storage.state.spec.ts","",""
"","2972","Set supplier for Item","chromium","Sun Jan 11 20:00:10 IST 2026","passed","Sun Jan 11 20:00:13 IST 2026","Create item @item @api","specs/api/item.spec.ts","",""
"","469","Create new Supplier","chromium","Sun Jan 11 20:00:08 IST 2026","passed","Sun Jan 11 20:00:09 IST 2026","Create Supplier @supplier @api","specs/api/supplier.spec.ts","",""
"","25891","Procurement","chromium","Sun Jan 11 20:00:45 IST 2026","passed","Sun Jan 11 20:01:11 IST 2026","Sales Process: Quotation → Sales Order → Procurement → Shipment → Accounting @sales","specs/e2e/sales.flow.spec.ts","",""
